domain,domain_label,threshold,threshold_label,re,re_label,model_file,term_raw,term,label,domain_group,param_type,transition,median,mean,sd,q025,q05,q95,q975,p_gt_0,p_lt_0
base,Core Baseline,relaxed,Relaxed CS,rs,Crossed Random Slopes,hier_base_relaxed_rs.rds,b_gend.fNonbinaryDOther,gend.fNonbinaryDOther,Gender: Nonbinary / Other,Demographics,scalar,global,-0.336390445,-0.3407768685584225,0.27231384334516423,-0.8805823625000001,-0.8022729049999999,0.10257384249999997,0.17662613900000002,0.105,0.895
base,Core Baseline,relaxed,Relaxed CS,rs,Crossed Random Slopes,hier_base_relaxed_rs.rds,b_race.fAsian,race.fAsian,Ethnoracial: Asian,Ethnoracial Identification,scalar,global,-0.0980189605,-0.095984685916375,0.12851759859692144,-0.35575271225,-0.30610063949999994,0.11523576099999996,0.157575045,0.22325,0.77675
base,Core Baseline,relaxed,Relaxed CS,rs,Crossed Random Slopes,hier_base_relaxed_rs.rds,b_race.fBlack,race.fBlack,Ethnoracial: Black,Ethnoracial Identification,scalar,global,0.03252699,0.035829089005121,0.08833073517172013,-0.129006719,-0.10643843899999998,0.18421557549999992,0.21335675350000005,0.65225,0.34775
base,Core Baseline,relaxed,Relaxed CS,rs,Crossed Random Slopes,hier_base_relaxed_rs.rds,b_race.fHispanic,race.fHispanic,Ethnoracial: Hispanic / Latino,Ethnoracial Identification,scalar,global,0.0031267012,0.0038289442016384997,0.1275065057285554,-0.24098324699999998,-0.204020735,0.21431445099999993,0.2522331300000001,0.51,0.49
base,Core Baseline,relaxed,Relaxed CS,rs,Crossed Random Slopes,hier_base_relaxed_rs.rds,b_race.fMixedOther,race.fMixedOther,Ethnoracial: Mixed Other,Ethnoracial Identification,scalar,global,-0.203601815,-0.204743181491014,0.1738271359989235,-0.5453488592500001,-0.490156116,0.07941144389999996,0.1298302255000001,0.1185,0.8815
base,Core Baseline,relaxed,Relaxed CS,rs,Crossed Random Slopes,hier_base_relaxed_rs.rds,b_race.fMixedWhite,race.fMixedWhite,Ethnoracial: Mixed White,Ethnoracial Identification,scalar,global,-0.28076919499999997,-0.283535802992175,0.10689497303571995,-0.49716340049999996,-0.4586132295,-0.10765103150000017,-0.07250851897499992,0.00225,0.99775
base,Core Baseline,relaxed,Relaxed CS,rs,Crossed Random Slopes,hier_base_relaxed_rs.rds,bcs_educ_c_avg,educ_c,Educational Attainment,Cultural Capital,cs_average,mean_1_6,0.11588664966666667,0.11671672514314851,0.037423683387032544,0.044401620743333335,0.05686438658916668,0.17812714265,0.19008896898333336,0.9995,5e-4
base,Core Baseline,relaxed,Relaxed CS,rs,Crossed Random Slopes,hier_base_relaxed_rs.rds,bcs_peduc_c_avg,peduc_c,Parental Education,Cultural Capital,cs_average,mean_1_6,-0.039835255309166664,-0.04005809597164164,0.03502010240171171,-0.1100803956925,-0.09755535665083333,0.016869783456666638,0.026821542420833337,0.125,0.875
base,Core Baseline,relaxed,Relaxed CS,rs,Crossed Random Slopes,hier_base_relaxed_rs.rds,bcs_social_c_avg,social_c,Social Conservatism,Ideology,cs_average,mean_1_6,0.19262475141666668,0.19401978543346735,0.05412951315635427,0.0913985846,0.10714085391666668,0.28647305718416666,0.3055257117166667,1,0
base,Core Baseline,relaxed,Relaxed CS,rs,Crossed Random Slopes,hier_base_relaxed_rs.rds,bcs_economic_c_avg,economic_c,Economic Conservatism,Ideology,cs_average,mean_1_6,-0.04285920040833334,-0.04285561164695425,0.05181983553232718,-0.15069479363125,-0.12884971837416667,0.04109219817499999,0.058400072133333335,0.20025,0.79975
base,Core Baseline,relaxed,Relaxed CS,rs,Crossed Random Slopes,hier_base_relaxed_rs.rds,bcs_arts_c_avg,arts_c,Childhood Arts Socialization,Cultural Capital,cs_average,mean_1_6,-0.033847470975,-0.03411281540251776,0.035317247804403026,-0.10477102847916667,-0.09364860458333334,0.02450020510833326,0.03483295801250002,0.164,0.836
practices,Dining Practices,strict,Strict (Equal Slopes),ri,Random Intercepts,hier_practices_strict_ri.rds,b_educ_c,educ_c,Educational Attainment,Cultural Capital,scalar,global,0.05267445,0.0526221797174,0.03463531612935596,-0.0132438075,-0.003371225,0.10949389999999998,0.11818622500000002,0.93825,0.06175
